2026-08-21 19:19 | Reversal-8h | GENIUSUSDT | lolos 2/5 | belum: c+1 HA bullish (belum); cross-up EMA20 (belum)
2026-08-21 19:19 | Reversal-8h | SNDKBUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (1/3 merah, turun 0.8%); doji<0.2body & <EMA20/50 (body 0.53)
2026-08-21 19:19 | Reversal-8h | SKHYBUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (1/3 merah, turun 2.4%); doji<0.2body & <EMA20/50 (body 0.51)
2026-08-21 19:19 | Reversal-8h | KORUBUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (1/3 merah, turun 5.1%); doji<0.2body & <EMA20/50 (body 0.13)
2026-08-21 19:20 | brkX2-4h | ETHUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | XRPUSDT | lolos 6/7 | belum: Vol rendah: 0.19x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | XLMUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ONTUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | LINKUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ZECUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:20 | brkX2-4h | ATOMUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | DOGEUSDT | lolos 6/7 | belum: Vol rendah: 0.13x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | CRVUSDT | lolos 6/7 | belum: Stoch%K 96.7 (max 89)
2026-08-21 19:20 | brkX2-4h | UNIUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | UTKUSDT | lolos 6/7 | belum: Supertrend masih Downtrend
2026-08-21 19:20 | brkX2-4h | AAVEUSDT | lolos 6/7 | belum: Vol rendah: 0.14x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | NEARUSDT | lolos 6/7 | belum: Vol rendah: 0.10x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | INJUSDT | lolos 6/7 | belum: Vol rendah: 0.14x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | SHIBUSDT | lolos 6/7 | belum: Vol rendah: 0.14x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | DEXEUSDT | lolos 6/7 | belum: Vol rendah: 0.18x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | PEOPLEUSDT | lolos 6/7 | belum: Vol rendah: 0.24x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | NEXOUSDT | lolos 6/7 | belum: Vol rendah: 0.13x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | APTUSDT | lolos 6/7 | belum: Stoch%K 97.2 (max 89)
2026-08-21 19:20 | brkX2-4h | OSMOUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | GASUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | PROMUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | WBTCUSDT | lolos 6/7 | belum: ATR% 1.64% (min 2.0%)
2026-08-21 19:20 | brkX2-4h | SUIUSDT | lolos 6/7 | belum: Vol rendah: 0.15x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | PEPEUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ORDIUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | PYTHUSDT | lolos 6/7 | belum: Vol rendah: 0.18x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | STRKUSDT | lolos 6/7 | belum: Stoch%K 95.6 (max 89)
2026-08-21 19:20 | brkX2-4h | WIFUSDT | lolos 6/7 | belum: Stoch%K 94.3 (max 89)
2026-08-21 19:20 | brkX2-4h | BOMEUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ETHFIUSDT | lolos 6/7 | belum: Vol rendah: 0.21x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ENAUSDT | lolos 6/7 | belum: Stoch%K 93.0 (max 89)
2026-08-21 19:20 | brkX2-4h | BBUSDT | lolos 6/7 | belum: Vol rendah: 0.21x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ZROUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:20 | brkX2-4h | TONUSDT | lolos 6/7 | belum: Supertrend masih Downtrend
2026-08-21 19:20 | brkX2-4h | POLUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | NEIROUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | TURBOUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:20 | brkX2-4h | BIOUSDT | lolos 6/7 | belum: Vol rendah: 0.05x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | TRUMPUSDT | lolos 6/7 | belum: Vol rendah: 0.14x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | BERAUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:20 | brkX2-4h | HEIUSDT | lolos 6/7 | belum: Vol rendah: 0.02x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | NILUSDT | lolos 6/7 | belum: Vol rendah: 0.17x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | MUBARAKUSDT | lolos 6/7 | belum: Vol rendah: 0.12x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | SPKUSDT | lolos 6/7 | belum: Vol rendah: 0.19x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | SKYUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | HEMIUSDT | lolos 6/7 | belum: Stoch%K 90.9 (max 89)
2026-08-21 19:20 | brkX2-4h | XPLUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | MORPHOUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ALLOUSDT | lolos 6/7 | belum: Vol rendah: 0.01x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | BANKUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | 币安人生USDT | lolos 6/7 | belum: Vol rendah: 0.16x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | ROBOUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:20 | brkX2-4h | CHIPUSDT | lolos 6/7 | belum: Vol rendah: 0.17x MA (min 0.25x)
2026-08-21 19:20 | brkX2-4h | MEGAUSDT | lolos 6/7 | belum: Stoch%K 96.5 (max 89)
2026-08-21 19:24 | brkX2-4h | ETHUSDT | lolos 6/7 | belum: Vol rendah: 0.10x MA (min 0.25x)
2026-08-21 19:24 | brkX2-4h | XRPUSDT | lolos 6/7 | belum: Vol rendah: 0.21x MA (min 0.25x)
